Date,Season,Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,ManagerHome,ManagerAway,FormationHome,FormationAway,RatingTeamHome,RatingTeamAway,Stadium,Weather,Referee,StartTeamHome,RatingStartTeamHome,SubstitutionHome,RatingSubstitutionHome,StartTeamAway,RatingStartTeamAway,SubstitutionAway,RatingSubstitutionAway,TotalShotsHome,TotalShotsAway,PossessionHome,PossessionAway,PassAccuracyHome,PassAccuracyAway,DribblesHome,DribblesAway,AerialsWonHome,AerialsWonAway,TacklesHome,TacklesAway,CornersHome,CornersAway,DispossessedHome,DispossessedAway,GoalsHome,GoalsAway,AssistsHome,AssistsAway,YellowCardHome,YellowCardAway,RedCardHome,RedCardAway
01-Mar-20,2019/2020,14:00,Tottenham,2,3,Wolves,José Mourinho,Nuno Espírito Santo,3-4-3,3-4-3,6.53,7.06,Tottenham Hotspur Stadium,Clear,Stuart Attwell,"Paulo Gazzaniga, Davinson Sánchez, Japhet Tanganga, Eric Dier, Serge Aurier, Ben Davies, Giovani Lo Celso, Harry Winks, Lucas Moura, Dele Alli, Steven Bergwijn, Rui Patrício","5.7, 6.4, 5.8, 7.0, 7.8, 6.5, 6.7, 6.0, 7.3, 6.8, 7.0, 6.8","Troy Parrott, Gedson Fernandes, Tanguy Ndombele, Jan Vertonghen, Toby Alderweireld, Michel Vorm, Oliver Skipp","6.0, 6.4, 6.1, 6.0, 6.0, 6.0, 6.0","Willy Boly, Romain Saïss, Conor Coady, Matt Doherty, Rúben Vinagre, Rúben Neves, João Moutinho, Adama Traoré, Raúl Jiménez, Diogo Jota","6.2, 7.7, 6.4, 8.2, 7.6, 6.5, 7.2, 7.2, 8.3, 8.6","Pedro Neto, Daniel Podence, Leander Dendoncker, Oskar Buur, John Ruddy, Morgan Gibbs-White, Maximilian Kilman","6.3, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0",13,14,65.5,34.5,86,74,11,14,21,18,22,25,4,5,12,10,"Steven Bergwijn, Serge Aurier","Matt Doherty, Diogo Jota, Raúl Jiménez",Dele Alli,Diogo Jota,3,2,0,0
01-Mar-20,2019/2020,14:00,Everton,1,1,Man Utd,Carlo Ancelotti,Ole Gunnar Solskjær,4-4-2,4-1-2-1-2,6.64,6.61,Goodison Park,Clear,Chris Kavanagh,"Jordan Pickford, Séamus Coleman, Mason Holgate, Michael Keane, Leighton Baines, Theo Walcott, André Gomes, Tom Davies, Gylfi Sigurdsson, Richarlison, Dominic Calvert-Lewin, David de Gea","6.1, 6.5, 6.5, 6.6, 7.4, 6.2, 6.5, 6.7, 6.9, 7.0, 7.9, 6.1","Moise Kean, Djibril Sidibé, Bernard, Yerry Mina, Alex Iwobi, João Virgínia, Fabian Delph","6.4, 6.4, 6.0, 6.0, 6.0, 6.0, 6.0","Aaron Wan-Bissaka, Victor Lindelöf, Harry Maguire, Luke Shaw, Nemanja Matic, Fred, Scott McTominay, Bruno Fernandes, Anthony Martial, Mason Greenwood","6.3, 6.3, 7.2, 6.7, 8.0, 6.4, 6.7, 7.9, 6.7, 6.2","Brandon Williams, Juan Mata, Odion Ighalo, Sergio Romero, Andreas Pereira, Jesse Lingard, Eric Bailly","6.0, 6.0, 6.1, 6.0, 6.0, 6.0, 6.0",16,14,44.1,55.9,74,77,12,13,16,15,14,16,13,8,13,10,Dominic Calvert-Lewin,Bruno Fernandes,,Nemanja Matic,3,4,1,0
07-Mar-20,2019/2020,12:30,Liverpool,2,1,Bournemouth,Jürgen Klopp,Eddie Howe,4-3-3,4-1-4-1,7.07,6.54,Anfield,Clear,Paul Tierney,"Adrián, Trent Alexander-Arnold, Virgil van Dijk, Joseph Gomez, James Milner, Fabinho, Georginio Wijnaldum, Alex Oxlade-Chamberlain, Mohamed Salah, Roberto Firmino, Sadio Mané, Aaron Ramsdale","6.4, 7.0, 7.8, 7.0, 7.8, 6.5, 6.5, 7.0, 8.5, 6.5, 8.7, 6.7","Adam Lallana, Divock Origi, Joel Matip, Naby Keita, Takumi Minamino, Andy Lonergan, Neco Williams","6.2, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0","Jack Stacey, Nathan Aké, Steve Cook, Adam Smith, Jefferson Lerma, Ryan Fraser, Philip Billing, Lewis Cook, Junior Stanislas, Callum Wilson","6.2, 6.9, 6.6, 6.8, 7.1, 6.4, 7.0, 6.4, 6.5, 7.3","Dominic Solanke, Jack Simpson, Dan Gosling, Artur Boruc, Andrew Surman, Diego Rico, Sam Surridge","6.2, 5.4, 6.0, 6.0, 6.0, 6.0, 6.0",14,6,74.5,25.5,85,61,14,6,19,19,7,9,9,4,3,4,"Mohamed Salah, Sadio Mané",Callum Wilson,"Sadio Mané, Virgil van Dijk",Jefferson Lerma,0,1,0,0
07-Mar-20,2019/2020,15:00,Sheff Utd,1,0,Norwich,Chris Wilder,Daniel Farke,3-5-2,4-2-3-1,7.11,6.59,Bramall Lane,Clear,Simon Hooper,"Dean Henderson, John Egan, Chris Basham, Jack O'Connell, George Baldock, Enda Stevens, John Lundstram, John Fleck, Oliver Norwood, Billy Sharp, Oliver McBurnie, Tim Krul","7.9, 7.2, 8.1, 7.1, 7.0, 6.4, 7.6, 7.4, 7.0, 7.6, 7.1, 6.6","Ben Osborn, Sander Berge, David McGoldrick, Lys Mousset, Panagiotis Retsos, Michael Verrips, Phil Jagielka","6.3, 6.0, 6.8, 6.0, 6.0, 6.0, 6.0","Max Aarons, Ben Godfrey, Grant Hanley, Jamal Lewis, Alexander Tettey, Kenny McLean, Emiliano Buendía, Ondrej Duda, Todd Cantwell, Teemu Pukki","6.1, 7.1, 7.2, 6.1, 6.8, 7.3, 6.8, 6.6, 6.0, 6.7","Josip Drmic, Adam Idah, Mario Vrancic, Lukas Rupp, Marco Stiepermann, Christoph Zimmermann, Michael McGovern","6.2, 6.0, 6.9, 6.0, 6.0, 6.0, 6.0",10,12,41.8,58.2,74,81,12,10,20,23,14,18,10,5,10,13,Billy Sharp,,John Lundstram,,0,0,0,0
07-Mar-20,2019/2020,15:00,Southampton,0,1,Newcastle,Ralph Hasenhüttl,Steve Bruce,4-4-2,4-4-2,6.56,6.82,St. Mary's Stadium,Clear,Graham Scott,"Alex McCarthy, Yan Valery, Jan Bednarek, Jack Stephens, Ryan Bertrand, Sofiane Boufal, Pierre-Emile Højbjerg, James Ward-Prowse, Moussa Djenepo, Shane Long, Danny Ings, Martin Dubravka","8.8, 5.9, 6.8, 6.1, 6.7, 6.8, 6.6, 6.8, 5.2, 7.0, 6.5, 7.0","Che Adams, Michael Obafemi, Kevin Danso, Jannik Vestergaard, Oriol Romeu, Kyle Walker-Peters, Angus Gunn","5.9, 6.1, 6.0, 6.0, 6.0, 6.0, 6.0","Javier Manquillo, Federico Fernández, Jamaal Lascelles, Danny Rose, Matt Ritchie, Isaac Hayden, Jonjo Shelvey, Allan Saint-Maximin, Miguel Almirón, Dwight Gayle","6.7, 6.8, 7.1, 6.5, 6.2, 7.2, 7.4, 8.6, 6.8, 6.5","Sean Longstaff, Joelinton, Valentino Lazaro, Nabil Bentaleb, Fabian Schär, DeAndre Yedlin, Karl Darlow","6.1, 6.3, 6.4, 6.0, 6.0, 6.0, 6.0",6,14,38,62,69,81,11,15,19,14,19,15,5,8,11,6,,Allan Saint-Maximin,,,0,3,1,0
07-Mar-20,2019/2020,15:00,Wolves,0,0,Brighton,Nuno Espírito Santo,Graham Potter,3-5-2,4-3-3,6.81,6.73,Molineux Stadium,Clear,Andre Marriner,"Rui Patrício, Willy Boly, Romain Saïss, Conor Coady, Matt Doherty, Rúben Vinagre, Leander Dendoncker, Rúben Neves, João Moutinho, Raúl Jiménez, Diogo Jota, Mat Ryan","6.6, 7.3, 6.7, 7.1, 7.0, 7.1, 7.2, 6.6, 6.9, 6.3, 6.8, 7.0","Adama Traoré, Daniel Podence, Oskar Buur, Pedro Neto, Bruno Jordão, John Ruddy, Maximilian Kilman","6.8, 6.1, 6.0, 6.0, 6.0, 6.0, 6.0","Martín Montoya, Adam Webster, Lewis Dunk, Dan Burn, Aaron Mooy, Yves Bissouma, Davy Pröpper, Solly March, Neal Maupay, Leandro Trossard","6.7, 7.0, 7.1, 7.3, 7.3, 7.8, 6.8, 6.6, 6.1, 6.3","Dale Stephens, Alireza Jahanbakhsh, Alexis Mac Allister, Pascal Groß, Shane Duffy, Glenn Murray, David Button","6.2, 6.2, 6.0, 6.0, 6.0, 6.0, 6.0",11,7,43.1,56.9,75,83,16,10,20,20,22,23,2,0,11,9,,,,,1,3,0,0
07-Mar-20,2019/2020,15:00,Crystal Palace,1,0,Watford,Roy Hodgson,Nigel Pearson,4-3-3,4-2-3-1,7.37,6.42,Selhurst Park,Clear,Anthony Taylor,"Vicente Guaita, Joel Ward, Gary Cahill, Scott Dann, Patrick van Aanholt, James McCarthy, Cheikhou Kouyaté, James McArthur, Jordan Ayew, Christian Benteke, Wilfried Zaha, Ben Foster","7.7, 6.5, 7.8, 7.1, 7.4, 7.7, 7.3, 7.4, 8.0, 7.9, 7.4, 6.2","Luka Milivojevic, Max Meyer, Jeffrey Schlupp, Jairo Riedewald, Martin Kelly, Andros Townsend, Wayne Hennessey","6.3, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0","Kiko Femenía, Christian Kabasele, Craig Cathcart, Adam Masina, Etienne Capoue, Will Hughes, Ismaila Sarr, Abdoulaye Doucouré, Roberto Pereyra, Troy Deeney","7.1, 7.0, 6.2, 6.8, 6.4, 6.2, 5.9, 7.2, 6.0, 6.8","Danny Welbeck, Andre Gray, Ignacio Pussetto, Heurelho Gomes, Adrian Mariappa, Craig Dawson, Nathaniel Chalobah","6.1, 6.0, 6.1, 6.0, 6.0, 6.0, 6.0",10,10,44.2,55.8,72,75,14,4,31,34,21,22,8,8,13,12,Jordan Ayew,,James McArthur,,4,4,0,0
07-Mar-20,2019/2020,15:00,Arsenal,1,0,West Ham,Mikel Arteta,David Moyes,4-2-3-1,4-4-2,7.08,6.50,Emirates Stadium,Clear,Martin Atkinson,"Bernd Leno, Sokratis, David Luiz, Pablo Marí, Bukayo Saka, Dani Ceballos, Granit Xhaka, Nicolas Pépé, Mesut Özil, Pierre-Emerick Aubameyang, Eddie Nketiah, Lukasz Fabianski","8.2, 7.2, 7.3, 7.4, 7.7, 8.0, 6.7, 6.4, 7.3, 7.0, 6.3, 6.2","Reiss Nelson, Héctor Bellerín, Alexandre Lacazette, Emiliano Martínez, Gabriel Martinelli, Matteo Guendouzi, Joseph Willock","6.4, 6.1, 7.2, 6.0, 6.0, 6.0, 6.0","Jeremy Ngakia, Issa Diop, Angelo Ogbonna, Aaron Cresswell, Jarrod Bowen, Mark Noble, Declan Rice, Pablo Fornals, Sébastien Haller, Michail Antonio","6.4, 7.5, 6.4, 6.6, 6.8, 6.4, 6.8, 6.6, 7.0, 6.3","Robert Snodgrass, Tomas Soucek, Felipe Anderson, Pablo Zabaleta, Manuel Lanzini, Darren Randolph, Fabián Balbuena","6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0",9,14,68.9,31.1,85,69,12,4,22,24,13,11,6,7,6,6,Alexandre Lacazette,,Mesut Özil,,1,2,0,0
07-Mar-20,2019/2020,17:30,Burnley,1,1,Tottenham,Sean Dyche,José Mourinho,4-4-2,3-4-2-1,6.93,6.69,Turf Moor,Clear,Jonathan Moss,"Nick Pope, Phil Bardsley, Ben Mee, James Tarkowski, Charlie Taylor, Jeff Hendrick, Jack Cork, Ashley Westwood, Dwight McNeil, Chris Wood, Jay Rodriguez, Hugo Lloris","5.9, 7.0, 7.0, 7.4, 6.7, 6.8, 7.4, 7.1, 7.8, 7.5, 7.1, 7.6","Aaron Lennon, Matej Vydra, Robbie Brady, Kevin Long, Erik Pieters, Joe Hart, Josh Brownhill","6.1, 6.2, 6.0, 6.0, 6.0, 6.0, 6.0","Toby Alderweireld, Davinson Sánchez, Eric Dier, Japhet Tanganga, Jan Vertonghen, Tanguy Ndombele, Oliver Skipp, Erik Lamela, Steven Bergwijn, Dele Alli","6.4, 6.8, 6.9, 7.8, 6.5, 6.3, 6.5, 6.7, 6.2, 6.8","Serge Aurier, Lucas Moura, Giovani Lo Celso, Paulo Gazzaniga, Gedson Fernandes, Ryan Sessegnon, Harry Winks","6.1, 6.8, 6.3, 6.0, 6.0, 6.0, 6.0",21,13,45,55,74,74,12,9,29,17,24,14,3,5,9,16,Chris Wood,Dele Alli,,,5,4,0,0
08-Mar-20,2019/2020,14:00,Chelsea,4,0,Everton,Frank Lampard,Carlo Ancelotti,4-3-3,4-4-2,7.55,6.12,Stamford Bridge,,Kevin Friend,"Kepa Arrizabalaga, César Azpilicueta, Kurt Zouma, Antonio Rüdiger, Marcos Alonso, Ross Barkley, Mason Mount, Billy Gilmour, Willian, Olivier Giroud, Pedro, Jordan Pickford","7.0, 7.5, 6.6, 7.3, 6.9, 9.8, 9.0, 7.0, 9.3, 8.3, 8.5, 7.3","Armando Broja, Faustino Anjorin, Reece James, Willy Caballero, Michy Batshuayi, Andreas Christensen, Fikayo Tomori","6.0, 6.2, 6.4, 6.0, 6.0, 6.0, 6.0","Djibril Sidibé, Michael Keane, Mason Holgate, Lucas Digne, Bernard, André Gomes, Tom Davies, Gylfi Sigurdsson, Richarlison, Dominic Calvert-Lewin","6.7, 6.2, 6.1, 6.2, 6.2, 5.7, 5.6, 5.4, 6.4, 5.7","Anthony Gordon, Theo Walcott, Moise Kean, Yerry Mina, Maarten Stekelenburg, Alex Iwobi, Leighton Baines","6.3, 5.8, 6.1, 6.0, 6.0, 6.0, 6.0",17,3,60.2,39.8,89,79,20,11,17,19,13,15,6,1,8,10,"Mason Mount, Pedro, Willian, Olivier Giroud",,"Pedro, Ross Barkley, Ross Barkley, Willian",,1,2,0,0
